ㄅㄚ,ba,八
(ㄆㄨㄥˋ),pòng,碰
(ㄆㄨㄥ˙),,
ㄇㄚ,ma,媽
ㄇㄚˊ,má,麻
ㄇㄚˇ,mǎ,馬
ㄇㄚˋ,mà,罵
ㄇㄚ˙,mạ,嗎
ㄇㄛ,mo,摸
ㄇㄛˊ,mó,摩
ㄇㄛˇ,mǒ,抹
ㄇㄛˋ,mò,默
ㄇㄛ˙,mọ,尛
ㄇㄜ,,　
ㄇㄜˊ,,　
ㄇㄜˇ,,　
ㄇㄜˋ,,
ㄇㄜ˙,mẹ,麼
ㄇㄞ,,
ㄇㄞˊ,maí,埋
ㄇㄞˇ,maǐ,買
ㄇㄞˋ,maì,賣
ㄇㄞ˙,,　
ㄇㄟ,,
ㄇㄟˊ,meí,沒
ㄇㄟˇ,meǐ,美
ㄇㄟˋ,meì,魅
ㄇㄟ˙,meị,妹
ㄇㄠ,mao,貓
ㄇㄠˊ,maó,毛
ㄇㄠˇ,maǒ,卯
ㄇㄠˋ,maò,茂
ㄇㄠ˙,,　
ㄇㄡ,,
ㄇㄡˊ,moú,謀
ㄇㄡˇ,moǔ,某
ㄇㄡˋ,moù,愗
ㄇㄡ˙,,　
ㄇㄢ,man,屘
ㄇㄢˊ,mán,蠻
ㄇㄢˇ,mǎn,滿
ㄇㄢˋ,màn,慢
ㄇㄢ˙,,　
ㄇㄣ,men,悶
ㄇㄣˊ,mén,門
ㄇㄣˇ,měn,暪
ㄇㄣˋ,mèn,燜
ㄇㄣ˙,mẹn,們
ㄇㄤ,,
ㄇㄤˊ,máng,忙
ㄇㄤˇ,mǎng,莽
ㄇㄤˋ,màng,吂
ㄇㄤ˙,,　
ㄇㄥ,meng,矇
ㄇㄥˊ,méng,盟
ㄇㄥˇ,měng,猛
ㄇㄥˋ,mèng,夢
ㄇㄥ˙,,
ㄇㄧ,mi,咪
ㄇㄧˊ,mí,迷
ㄇㄧˇ,mǐ,米
ㄇㄧˋ,mì,密
ㄇㄧ˙,,　
ㄇㄧㄝ,mieh,咩
ㄇㄧㄝˊ,miéh,𧴯
ㄇㄧㄝˇ,,　
ㄇㄧㄝˋ,mièh,滅
ㄇㄧㄝ˙,,　
ㄇㄧㄠ,miao,喵
ㄇㄧㄠˊ,miaó,苗
ㄇㄧㄠˇ,miaǒ,秒
ㄇㄧㄠˋ,miaò,妙
