ㄅㄚ,ba,八
ㄌㄧㄥˊ,líng,玲
ㄌㄧㄥˇ,lǐng,領
ㄌㄧㄥˋ,lìng,另
ㄌㄧㄥ˙,,
(ㄌㄧㄨ),liu,溜
(ㄌㄧㄨˊ),liú,流
(ㄌㄧㄨˇ),liǔ,柳
(ㄌㄧㄨˋ),liù,六
(ㄌㄧㄨ˙),,　
ㄌㄨ,lu,嚕
ㄌㄨˊ,lú,盧
ㄌㄨˇ,lǔ,魯
ㄌㄨˋ,lù,錄
ㄌㄨ˙,lụ,氇
ㄌㄨㄛ,luo,囉
ㄌㄨㄛˊ,luó,羅
ㄌㄨㄛˇ,luǒ,裸
ㄌㄨㄛˋ,luò,落
ㄌㄨㄛ˙,luọ,囉
ㄌㄨㄢ,,
ㄌㄨㄢˊ,luán,巒
ㄌㄨㄢˇ,luǎn,卵
ㄌㄨㄢˋ,luàn,亂
ㄌㄨㄢ˙,,　
ㄌㄨㄣ,lun,掄
ㄌㄨㄣˊ,lún,輪
ㄌㄨㄣˇ,lǔn,埨
ㄌㄨㄣˋ,lùn,論
ㄌㄨㄣ˙,,　
ㄌㄨㄥ,long,巄
ㄌㄨㄥˊ,lóng,龍
ㄌㄨㄥˇ,lǒng,攏
ㄌㄨㄥˋ,lòng,衖
ㄌㄨㄥ˙,,　
ㄌㄩ,,
ㄌㄩˊ,lyú,驢
ㄌㄩˇ,lyǔ,旅
ㄌㄩˋ,lyù,律
ㄌㄩ˙,,　
ㄌㄩㄝ,,　
ㄌㄩㄝˊ,,　
ㄌㄩㄝˇ,,
ㄌㄩㄝˋ,lyuèh,掠
ㄌㄩㄝ˙,,　
ㄌㄩㄢ,,
ㄌㄩㄢˊ,lyuán,鑾
ㄌㄩㄢˇ,,
ㄌㄩㄢˋ,,
ㄌㄩㄢ˙,,
ㄍㄚ,ga,嘎
ㄍㄚˊ,gá,軋
ㄍㄚˇ,,　
ㄍㄚˋ,gà,尬
ㄍㄚ˙,gạ,價
ㄍㄜ,ge,哥
ㄍㄜˊ,gé,格
ㄍㄜˇ,gě,葛
ㄍㄜˋ,gè,各
ㄍㄜ˙,gẹ,個
ㄍㄞ,gai,該
ㄍㄞˊ,,　
ㄍㄞˇ,gaǐ,改
ㄍㄞˋ,gaì,蓋
ㄍㄞ˙,,　
ㄍㄟ,,　
ㄍㄟˊ,,
ㄍㄟˇ,geǐ,給
ㄍㄟˋ,,　
ㄍㄟ˙,,　
ㄍㄠ,gao,高
ㄍㄠˊ,,　
ㄍㄠˇ,gaǒ,搞
ㄍㄠˋ,gaò,告
ㄍㄠ˙,,　
ㄍㄡ,gou,勾
ㄍㄡˊ,,　
ㄍㄡˇ,goǔ,狗
ㄍㄡˋ,goù,購
ㄍㄡ˙,,　
ㄍㄢ,gan,乾
ㄍㄢˊ,,　
ㄍㄢˇ,gǎn,感
ㄍㄢˋ,gàn,幹
ㄍㄢ˙,,　
ㄍㄣ,gen,根
ㄍㄣˊ,gén,哏
ㄍㄣˇ,gěn,艮
ㄍㄣˋ,gèn,亙
ㄍㄣ˙,,　
ㄍㄤ,gang,岡
ㄍㄤˊ,,　
ㄍㄤˇ,gǎng,港
ㄍㄤˋ,gàng,槓
ㄍㄤ˙,,　
ㄍㄥ,geng,耕
ㄍㄥˊ,,　
ㄍㄥˇ,gěng,耿
ㄍㄥˋ,gèng,更
ㄍㄥ˙,,
(ㄍㄦ),ger,哥
(ㄍㄦˊ),gér,格
(ㄍㄦˇ),gěr,葛
(ㄍㄦˋ),gèr,各
(ㄍㄦ˙),gẹr,個
ㄍㄨ,gu,姑
ㄍㄨˊ,gú,鶻
ㄍㄨˇ,gǔ,古
ㄍㄨˋ,gù,故
ㄍㄨ˙,gụ,姑
ㄍㄨㄚ,gua,瓜
ㄍㄨㄚˊ,,　
ㄍㄨㄚˇ,guǎ,寡
ㄍㄨㄚˋ,guà,掛
ㄍㄨㄚ˙,,　
ㄍㄨㄛ,guo,郭
ㄍㄨㄛˊ,guó,國
ㄍㄨㄛˇ,guǒ,果
ㄍㄨㄛˋ,guò,過
ㄍㄨㄛ˙,,　
ㄍㄨㄞ,guai,乖
ㄍㄨㄞˊ,,　
ㄍㄨㄞˇ,guaǐ,拐
ㄍㄨㄞˋ,guaì,怪
ㄍㄨㄞ˙,,　
ㄍㄨㄟ,guei,規
ㄍㄨㄟˊ,,　
ㄍㄨㄟˇ,gueǐ,鬼
ㄍㄨㄟˋ,gueì,貴
ㄍㄨㄟ˙,,　
ㄍㄨㄢ,guan,觀
ㄍㄨㄢˊ,,　
ㄍㄨㄢˇ,guǎn,管
ㄍㄨㄢˋ,guàn,冠
ㄍㄨㄢ˙,,　
ㄍㄨㄣ,gun,裩
ㄍㄨㄣˊ,,　
ㄍㄨㄣˇ,gǔn,滾
ㄍㄨㄣˋ,gùn,棍
ㄍㄨㄣ˙,,　
ㄍㄨㄤ,guang,光
ㄍㄨㄤˊ,,　
ㄍㄨㄤˇ,guǎng,廣
ㄍㄨㄤˋ,guàng,逛
ㄍㄨㄤ˙,,　
ㄍㄨㄥ,gong,工
ㄍㄨㄥˊ,,　
ㄍㄨㄥˇ,gǒng,拱
ㄍㄨㄥˋ,gòng,共
ㄍㄨㄥ˙,,
(ㄍㄨㄧ),gui,規
(ㄍㄨㄧˊ),,　
(ㄍㄨㄧˇ),guǐ,鬼
(ㄍㄨㄧˋ),guì,貴
(ㄍㄨㄧ˙),,　
ㄎㄚ,ka,咖
ㄎㄚˊ,,　
ㄎㄚˇ,kǎ,卡
ㄎㄚˋ,kà,喀
ㄎㄚ˙,,　
ㄎㄜ,ke,科
ㄎㄜˊ,ké,殼
ㄎㄜˇ,kě,可
ㄎㄜˋ,kè,客
ㄎㄜ˙,,　
ㄎㄞ,kai,開
ㄎㄞˊ,,　
ㄎㄞˇ,kaǐ,凱
ㄎㄞˋ,kaì,慨
ㄎㄞ˙,,　
ㄎㄠ,kao,尻
ㄎㄠˊ,,　
ㄎㄠˇ,kaǒ,考
ㄎㄠˋ,kaò,靠
ㄎㄠ˙,,　
ㄎㄡ,kou,摳
ㄎㄡˊ,,　
ㄎㄡˇ,koǔ,口
ㄎㄡˋ,koù,扣
ㄎㄡ˙,,　
ㄎㄢ,kan,刊
ㄎㄢˊ,,　
ㄎㄢˇ,kǎn,坎
ㄎㄢˋ,kàn,看
ㄎㄢ˙,,　
ㄎㄣ,,　
ㄎㄣˊ,,
ㄎㄣˇ,kěn,肯
ㄎㄣˋ,kèn,掯
ㄎㄣ˙,,　
ㄎㄤ,kang,康
ㄎㄤˊ,káng,扛
ㄎㄤˇ,kǎng,忼
ㄎㄤˋ,kàng,抗
ㄎㄤ˙,,　
ㄎㄥ,keng,坑
ㄎㄥˊ,,　
ㄎㄥˇ,kěng,挳
ㄎㄥˋ,,
ㄎㄥ˙,,
(ㄎㄦ),ker,科
(ㄎㄦˊ),kér,殼
(ㄎㄦˇ),kěr,可
(ㄎㄦˋ),kèr,客
(ㄎㄦ˙),,　
ㄎㄨ,ku,枯
ㄎㄨˊ,,　
ㄎㄨˇ,kǔ,苦
ㄎㄨˋ,kù,酷
ㄎㄨ˙,,　
ㄎㄨㄚ,kua,誇
ㄎㄨㄚˊ,,　
ㄎㄨㄚˇ,kuǎ,垮
ㄎㄨㄚˋ,kuà,跨
ㄎㄨㄚ˙,,　
ㄎㄨㄛ,,　
ㄎㄨㄛˊ,,
ㄎㄨㄛˇ,kuǒ,擃
ㄎㄨㄛˋ,kuò,括
ㄎㄨㄛ˙,,　
ㄎㄨㄞ,kuai,咼
ㄎㄨㄞˊ,,　
ㄎㄨㄞˇ,kuaǐ,蒯
ㄎㄨㄞˋ,kuaì,快
ㄎㄨㄞ˙,,　
ㄎㄨㄟ,kuei,窺
ㄎㄨㄟˊ,kueí,揆
ㄎㄨㄟˇ,kueǐ,傀
ㄎㄨㄟˋ,kueì,饋
ㄎㄨㄟ˙,,　
ㄎㄨㄢ,kuan,寬
ㄎㄨㄢˊ,,　
ㄎㄨㄢˇ,kuǎn,款
ㄎㄨㄢˋ,,　
ㄎㄨㄢ˙,,　
ㄎㄨㄣ,kun,昆
ㄎㄨㄣˊ,,　
ㄎㄨㄣˇ,kǔn,綑
ㄎㄨㄣˋ,kùn,困
ㄎㄨㄣ˙,,　
ㄎㄨㄤ,kuang,框
ㄎㄨㄤˊ,kuáng,狂
ㄎㄨㄤˇ,kuǎng,俇
ㄎㄨㄤˋ,kuàng,況
ㄎㄨㄤ˙,,　
ㄎㄨㄥ,kong,空
ㄎㄨㄥˊ,,　
ㄎㄨㄥˇ,kǒng,孔
ㄎㄨㄥˋ,kòng,控
ㄎㄨㄥ˙,,
(ㄎㄨㄧ),kui,窺
(ㄎㄨㄧˊ),kuí,揆
(ㄎㄨㄧˇ),kuǐ,傀
(ㄎㄨㄧˋ),kuì,饋
(ㄎㄨㄧ˙),,　
ㄏㄚ,ha,哈
ㄏㄚˊ,há,蛤
ㄏㄚˇ,hǎ,哈
ㄏㄚˋ,,　
ㄏㄚ˙,,　
ㄏㄜ,he,喝
ㄏㄜˊ,hé,合
ㄏㄜˇ,,　
ㄏㄜˋ,hè,賀
ㄏㄜ˙,hẹ,呵
ㄏㄞ,hai,嗨
ㄏㄞˊ,haí,孩
ㄏㄞˇ,haǐ,海
ㄏㄞˋ,haì,害
ㄏㄞ˙,,　
ㄏㄟ,hei,黑
ㄏㄟˊ,,　
ㄏㄟˇ,heǐ,黑
ㄏㄟˋ,heì,嘿
ㄏㄟ˙,heị,嘿
ㄏㄠ,hao,蒿
ㄏㄠˊ,haó,豪
ㄏㄠˇ,haǒ,好
ㄏㄠˋ,haò,號
ㄏㄠ˙,,　
ㄏㄡ,hou,齁
ㄏㄡˊ,hoú,侯
ㄏㄡˇ,hoǔ,吼
ㄏㄡˋ,hoù,後
ㄏㄡ˙,,　
ㄏㄢ,han,憨
ㄏㄢˊ,hán,含
ㄏㄢˇ,hǎn,喊
ㄏㄢˋ,hàn,汗
ㄏㄢ˙,,　
ㄏㄣ,,
ㄏㄣˊ,hén,痕
ㄏㄣˇ,hěn,很
ㄏㄣˋ,hèn,恨
ㄏㄣ˙,,
ㄏㄤ,hang,夯
ㄏㄤˊ,háng,航
ㄏㄤˇ,hǎng,奛
ㄏㄤˋ,hàng,沆
ㄏㄤ˙,,　
ㄏㄥ,heng,亨
ㄏㄥˊ,héng,衡
ㄏㄥˇ,,　
ㄏㄥˋ,hèng,橫
ㄏㄥ˙,,
(ㄏㄦ),her,喝
(ㄏㄦˊ),hér,合
(ㄏㄦˇ),,　
(ㄏㄦˋ),hèr,賀
(ㄏㄦ˙),hẹr,呵
ㄏㄨ,hu,忽
ㄏㄨˊ,hú,湖
ㄏㄨˇ,hǔ,虎
ㄏㄨˋ,hù,戶
ㄏㄨ˙,hụ,呼
ㄏㄨㄚ,hua,花
ㄏㄨㄚˊ,huá,滑
ㄏㄨㄚˇ,,　
ㄏㄨㄚˋ,huà,話
ㄏㄨㄚ˙,,　
ㄏㄨㄛ,huo,劐
ㄏㄨㄛˊ,huó,活
ㄏㄨㄛˇ,huǒ,火
ㄏㄨㄛˋ,huò,或
ㄏㄨㄛ˙,huọ,和
ㄏㄨㄞ,huaí,淮
ㄏㄨㄞˊ,,　
ㄏㄨㄞˇ,,
ㄏㄨㄞˋ,huaì,壞
ㄏㄨㄞ˙,,　
ㄏㄨㄟ,huei,灰
ㄏㄨㄟˊ,hueí,回
ㄏㄨㄟˇ,hueǐ,毀
ㄏㄨㄟˋ,hueì,會
ㄏㄨㄟ˙,,　
ㄏㄨㄢ,huan,歡
ㄏㄨㄢˊ,huán,寰
ㄏㄨㄢˇ,huǎn,緩
ㄏㄨㄢˋ,huàn,換
ㄏㄨㄢ˙,,　
ㄏㄨㄣ,hun,昏
ㄏㄨㄣˊ,hún,魂
ㄏㄨㄣˇ,hǔn,混
ㄏㄨㄣˋ,hùn,俒
ㄏㄨㄣ˙,,　
ㄏㄨㄤ,huang,荒
ㄏㄨㄤˊ,huáng,黃
ㄏㄨㄤˇ,huǎng,謊
ㄏㄨㄤˋ,huàng,晃
ㄏㄨㄤ˙,,　
ㄏㄨㄥ,hong,哄
ㄏㄨㄥˊ,hóng,紅
ㄏㄨㄥˇ,hǒng,哄
ㄏㄨㄥˋ,hòng,鬨
ㄏㄨㄥ˙,,
(ㄏㄨㄧ),hui,灰
(ㄏㄨㄧˊ),huí,回
(ㄏㄨㄧˇ),huǐ,毀
(ㄏㄨㄧˋ),huì,會
(ㄏㄨㄧ˙),,　
ㄐㄧ,ji,機
ㄐㄧˊ,jí,吉
ㄐㄧˇ,jǐ,幾
ㄐㄧˋ,jì,計
ㄐㄧ˙,,　
ㄐㄧㄚ,jia,加
ㄐㄧㄚˊ,jiá,夾
ㄐㄧㄚˇ,jiǎ,甲
ㄐㄧㄚˋ,jià,價
ㄐㄧㄚ˙,,　
ㄐㄧㄝ,jieh,皆
ㄐㄧㄝˊ,jiéh,結
ㄐㄧㄝˇ,jiěh,解
ㄐㄧㄝˋ,jièh,界
ㄐㄧㄝ˙,,　
ㄐㄧㄠ,jiao,交
ㄐㄧㄠˊ,jiaó,嚼
ㄐㄧㄠˇ,jiaǒ,角
ㄐㄧㄠˋ,jiaò,叫
ㄐㄧㄠ˙,,　
ㄐㄧㄡ,jiou,糾
ㄐㄧㄡˊ,,　
ㄐㄧㄡˇ,jioǔ,九
ㄐㄧㄡˋ,jioù,就
ㄐㄧㄡ˙,jioụ,舅
ㄐㄧㄢ,jian,間
ㄐㄧㄢˊ,,　
ㄐㄧㄢˇ,jiǎn,剪
ㄐㄧㄢˋ,jiàn,見
ㄐㄧㄢ˙,,　
ㄐㄧㄣ,jin,今
ㄐㄧㄣˊ,,　
ㄐㄧㄣˇ,jǐn,僅
ㄐㄧㄣˋ,jìn,近
ㄐㄧㄣ˙,,　
ㄐㄧㄤ,jiang,江
ㄐㄧㄤˊ,,　
ㄐㄧㄤˇ,jiǎng,獎
ㄐㄧㄤˋ,jiàng,降
ㄐㄧㄤ˙,,　
ㄐㄧㄥ,jing,精
ㄐㄧㄥˊ,,　
ㄐㄧㄥˇ,jǐng,警
ㄐㄧㄥˋ,jìng,境
ㄐㄧㄥ˙,,
ㄐㄩ,jyu,居
ㄐㄩˊ,jyú,局
ㄐㄩˇ,jyǔ,舉
ㄐㄩˋ,jyù,具
ㄐㄩ˙,,　
ㄐㄩㄝ,jyueh,噘
ㄐㄩㄝˊ,jyuéh,決
ㄐㄩㄝˇ,,　
ㄐㄩㄝˋ,jyuèh,倔
ㄐㄩㄝ˙,,　
ㄐㄩㄢ,jyuan,捐
ㄐㄩㄢˊ,,　
ㄐㄩㄢˇ,jyuǎn,捲
ㄐㄩㄢˋ,jyuàn,眷
ㄐㄩㄢ˙,,　
ㄐㄩㄣ,jyun,君
ㄐㄩㄣˊ,,　
ㄐㄩㄣˇ,jyǔn,蜠
ㄐㄩㄣˋ,jyùn,俊
ㄐㄩㄣ˙,,　
ㄐㄩㄥ,jyong,冂
ㄐㄩㄥˊ,,　
ㄐㄩㄥˇ,jyǒng,窘
ㄐㄩㄥˋ,jyòng,澃
ㄐㄩㄥ˙,,
(ㄐㄧㄨ),jiu,糾
(ㄐㄧㄨˊ),,　
(ㄐㄧㄨˇ),jiǔ,九
(ㄐㄧㄨˋ),jiù,就
(ㄐㄧㄨ˙),jiụ,舅
ㄑㄧ,chi,七
ㄑㄧˊ,chí,奇
ㄑㄧˇ,chǐ,起
ㄑㄧˋ,chì,企
ㄑㄧ˙,,　
ㄑㄧㄚ,chia,掐
ㄑㄧㄚˊ,,　
ㄑㄧㄚˇ,chiǎ,酎
ㄑㄧㄚˋ,chià,洽
ㄑㄧㄚ˙,,　
ㄑㄧㄝ,chieh,切
ㄑㄧㄝˊ,chiéh,茄
ㄑㄧㄝˇ,chiěh,且
ㄑㄧㄝˋ,chièh,愜
ㄑㄧㄝ˙,,　
ㄑㄧㄠ,chiao,敲
ㄑㄧㄠˊ,chiaó,橋
ㄑㄧㄠˇ,chiaǒ,巧
ㄑㄧㄠˋ,chiaò,俏
ㄑㄧㄠ˙,,　
ㄑㄧㄡ,chiou,邱
ㄑㄧㄡˊ,chioú,球
ㄑㄧㄡˇ,chioǔ,糗
ㄑㄧㄡˋ,,　
ㄑㄧㄡ˙,,　
ㄑㄧㄢ,chian,千
ㄑㄧㄢˊ,chián,前
ㄑㄧㄢˇ,chiǎn,淺
ㄑㄧㄢˋ,chiàn,欠
ㄑㄧㄢ˙,,　
ㄑㄧㄣ,chin,親
ㄑㄧㄣˊ,chín,勤
ㄑㄧㄣˇ,chǐn,寢
ㄑㄧㄣˋ,chìn,沁
ㄑㄧㄣ˙,,　
ㄑㄧㄤ,chiang,槍
ㄑㄧㄤˊ,chiáng,強
ㄑㄧㄤˇ,chiǎng,搶
ㄑㄧㄤˋ,chiàng,嗆
ㄑㄧㄤ˙,,　
ㄑㄧㄥ,ching,青
ㄑㄧㄥˊ,chíng,情
ㄑㄧㄥˇ,chǐng,請
ㄑㄧㄥˋ,chìng,慶
ㄑㄧㄥ˙,,
(ㄑㄧㄨ),chiu,邱
(ㄑㄧㄨˊ),chiú,球
(ㄑㄧㄨˇ),chiǔ,糗
(ㄑㄧㄨˋ),,　
(ㄑㄧㄨ˙),,　
ㄑㄩ,chyu,區
ㄑㄩˊ,chyú,渠
ㄑㄩˇ,chyǔ,取
ㄑㄩˋ,chyù,去
ㄑㄩ˙,,　
ㄑㄩㄝ,chyueh,缺
ㄑㄩㄝˊ,chyuéh,瘸
ㄑㄩㄝˇ,,　
ㄑㄩㄝˋ,chyuèh,卻
ㄑㄩㄝ˙,,　
ㄑㄩㄢ,chyuan,圈
ㄑㄩㄢˊ,chyuán,全
ㄑㄩㄢˇ,chyuǎn,犬
ㄑㄩㄢˋ,chyuàn,勸
ㄑㄩㄢ˙,,　
ㄑㄩㄣ,chyun,逡
ㄑㄩㄣˊ,chyún,群
ㄑㄩㄣˇ,,　
ㄑㄩㄣˋ,,　
ㄑㄩㄣ˙,,　
ㄑㄩㄥ,chyong,芎
ㄑㄩㄥˊ,chyóng,穹
ㄑㄩㄥˇ,chyǒng,苘
ㄑㄩㄥˋ,,
ㄑㄩㄥ˙,,
ㄒㄧ,si,西
ㄒㄧˊ,sí,習
ㄒㄧˇ,sǐ,洗
ㄒㄧˋ,sì,細
ㄒㄧ˙,,　
ㄒㄧㄚ,sia,蝦
ㄒㄧㄚˊ,siá,轄
ㄒㄧㄚˇ,siǎ,閜
ㄒㄧㄚˋ,sià,下
ㄒㄧㄚ˙,,　
ㄒㄧㄝ,sieh,些
ㄒㄧㄝˊ,siéh,協
ㄒㄧㄝˇ,siěh,寫
ㄒㄧㄝˋ,sièh,謝
ㄒㄧㄝ˙,siẹh,謝
ㄒㄧㄠ,siao,消
ㄒㄧㄠˊ,siaó,洨
ㄒㄧㄠˇ,siaǒ,小
ㄒㄧㄠˋ,siaò,笑
ㄒㄧㄠ˙,,　
ㄒㄧㄡ,siou,咻
ㄒㄧㄡˊ,,　
ㄒㄧㄡˇ,sioǔ,朽
ㄒㄧㄡˋ,sioù,秀
ㄒㄧㄡ˙,,　
ㄒㄧㄢ,sian,鮮
ㄒㄧㄢˊ,sián,賢
ㄒㄧㄢˇ,siǎn,險
ㄒㄧㄢˋ,siàn,線
ㄒㄧㄢ˙,,　
ㄒㄧㄣ,sin,新
ㄒㄧㄣˊ,sín,杺
ㄒㄧㄣˇ,sǐn,伈
ㄒㄧㄣˋ,sìn,信
ㄒㄧㄣ˙,,　
ㄒㄧㄤ,siang,相
ㄒㄧㄤˊ,siáng,祥
ㄒㄧㄤˇ,siǎng,想
ㄒㄧㄤˋ,siàng,像
ㄒㄧㄤ˙,,　
ㄒㄧㄥ,sing,星
ㄒㄧㄥˊ,síng,型
ㄒㄧㄥˇ,sǐng,醒
ㄒㄧㄥˋ,sìng,性
ㄒㄧㄥ˙,,
(ㄒㄧㄨ),siu,咻
(ㄒㄧㄨˊ),,　
(ㄒㄧㄨˇ),siǔ,朽
(ㄒㄧㄨˋ),siù,秀
(ㄒㄧㄨ˙),,　
ㄒㄩ,syu,需
ㄒㄩˊ,syú,徐
ㄒㄩˇ,syǔ,許
ㄒㄩˋ,syù,續
ㄒㄩ˙,syụ,逧
ㄒㄩㄝ,syueh,靴
ㄒㄩㄝˊ,syuéh,學
ㄒㄩㄝˇ,syuěh,雪
ㄒㄩㄝˋ,syuèh,穴
ㄒㄩㄝ˙,,　
ㄒㄩㄢ,syuan,軒
ㄒㄩㄢˊ,syuán,玄
ㄒㄩㄢˇ,syuǎn,選
ㄒㄩㄢˋ,syuàn,炫
ㄒㄩㄢ˙,,　
ㄒㄩㄣ,syun,薰
ㄒㄩㄣˊ,syún,詢
ㄒㄩㄣˇ,,　
ㄒㄩㄣˋ,syùn,訊
ㄒㄩㄣ˙,,　
ㄒㄩㄥ,syong,胸
ㄒㄩㄥˊ,syóng,雄
ㄒㄩㄥˇ,,　
ㄒㄩㄥˋ,syòng,夐
ㄒㄩㄥ˙,,
ㄓ,jhih,之
ㄓˊ,jhíh,直
ㄓˇ,jhǐh,只
ㄓˋ,jhìh,至
ㄓ˙,,
ㄓㄚ,jha,扎
ㄓㄚˊ,jhá,閘
ㄓㄚˇ,jhǎ,眨
ㄓㄚˋ,jhà,詐
ㄓㄚ˙,,　
ㄓㄜ,jhe,遮
ㄓㄜˊ,jhé,折
ㄓㄜˇ,jhě,者
ㄓㄜˋ,jhè,這
ㄓㄜ˙,jhẹ,著
ㄓㄞ,jhai,摘
ㄓㄞˊ,jhaí,宅
ㄓㄞˇ,jhaǐ,窄
ㄓㄞˋ,jhaì,債
ㄓㄞ˙,,　
ㄓㄟ,,
ㄓㄟˊ,,
ㄓㄟˇ,,
ㄓㄟˋ,,
ㄓㄟ˙,,
ㄓㄠ,jhao,召
ㄓㄠˊ,jhaó,著
ㄓㄠˇ,jhaǒ,找
ㄓㄠˋ,jhaò,照
ㄓㄠ˙,,　
ㄓㄡ,jhou,周
ㄓㄡˊ,jhoú,軸
ㄓㄡˇ,jhoǔ,肘
ㄓㄡˋ,jhoù,宙
ㄓㄡ˙,,　
ㄓㄢ,jhan,沾
ㄓㄢˊ,,　
ㄓㄢˇ,jhǎn,展
ㄓㄢˋ,jhàn,站
ㄓㄢ˙,,　
ㄓㄣ,jhen,真
ㄓㄣˊ,,　
ㄓㄣˇ,jhěn,診
ㄓㄣˋ,jhèn,振
ㄓㄣ˙,,　
ㄓㄤ,jhang,張
ㄓㄤˊ,,　
ㄓㄤˇ,jhǎng,掌
ㄓㄤˋ,jhàng,障
ㄓㄤ˙,,　
ㄓㄥ,jheng,爭
ㄓㄥˊ,,　
ㄓㄥˇ,jhěng,整
ㄓㄥˋ,jhèng,政
ㄓㄥ˙,,
(ㄓㄦ),jher,遮
(ㄓㄦˊ),jhér,折
(ㄓㄦˇ),jhěr,者
(ㄓㄦˋ),jhèr,這
(ㄓㄦ˙),jhẹr,著
ㄓㄨ,jhu,朱
ㄓㄨˊ,jhú,竹
ㄓㄨˇ,jhǔ,主
ㄓㄨˋ,jhù,住
ㄓㄨ˙,,　
ㄓㄨㄚ,jhua,抓
ㄓㄨㄚˊ,,　
ㄓㄨㄚˇ,jhuǎ,爪
ㄓㄨㄚˋ,,　
ㄓㄨㄚ˙,,
ㄓㄨㄛ,jhuo,桌
ㄓㄨㄛˊ,jhuó,卓
ㄓㄨㄛˇ,,　
ㄓㄨㄛˋ,,　
ㄓㄨㄛ˙,,　
ㄓㄨㄞ,jhuai,拽
ㄓㄨㄞˊ,,　
ㄓㄨㄞˇ,jhuaǐ,跩
ㄓㄨㄞˋ,jhuaì,拽
ㄓㄨㄞ˙,,　
ㄓㄨㄟ,jhuei,追
ㄓㄨㄟˊ,,　
ㄓㄨㄟˇ,jhueǐ,沝
ㄓㄨㄟˋ,jhueì,墜
ㄓㄨㄟ˙,,　
ㄓㄨㄢ,jhuan,專
ㄓㄨㄢˊ,,　
ㄓㄨㄢˇ,jhuǎn,轉
ㄓㄨㄢˋ,jhuàn,賺
ㄓㄨㄢ˙,,　
ㄓㄨㄣ,jhun,諄
ㄓㄨㄣˊ,,　
ㄓㄨㄣˇ,jhǔn,準
ㄓㄨㄣˋ,jhùn,稕
ㄓㄨㄣ˙,,　
ㄓㄨㄤ,jhuang,莊
ㄓㄨㄤˊ,,　
ㄓㄨㄤˇ,jhuǎng,奘
ㄓㄨㄤˋ,jhuàng,狀
ㄓㄨㄤ˙,,　
ㄓㄨㄥ,jhong,中
ㄓㄨㄥˊ,,　
ㄓㄨㄥˇ,jhǒng,種
ㄓㄨㄥˋ,jhòng,重
ㄓㄨㄥ˙,,
(ㄓㄨㄧ),jhui,追
(ㄓㄨㄧˊ),,　
(ㄓㄨㄧˇ),jhuǐ,沝
(ㄓㄨㄧˋ),jhuì,墜
(ㄓㄨㄧ˙),,　
ㄔ,chih,吃
ㄔˊ,chíh,持
ㄔˇ,chǐh,尺
ㄔˋ,chìh,赤
ㄔ˙,,
ㄔㄚ,cha,差
ㄔㄚˊ,chá,查
ㄔㄚˇ,chǎ,姹
ㄔㄚˋ,chà,岔
ㄔㄚ˙,,　
ㄔㄜ,che,車
ㄔㄜˊ,,　
ㄔㄜˇ,chě,扯
ㄔㄜˋ,chè,撤
ㄔㄜ˙,,　
ㄔㄞ,chai,拆
ㄔㄞˊ,chaí,柴
ㄔㄞˇ,chaǐ,笧
ㄔㄞˋ,chaì,袃
ㄔㄞ˙,,　
ㄔㄠ,chao,超
ㄔㄠˊ,chaó,潮
ㄔㄠˇ,chaǒ,炒
ㄔㄠˋ,chaò,耖
ㄔㄠ˙,,　
ㄔㄡ,chou,抽
ㄔㄡˊ,choú,籌
ㄔㄡˇ,choǔ,丑
ㄔㄡˋ,choù,臭
ㄔㄡ˙,,　
ㄔㄢ,chan,摻
ㄔㄢˊ,chán,禪
ㄔㄢˇ,chǎn,產
ㄔㄢˋ,chàn,懺
ㄔㄢ˙,,　
ㄔㄣ,chen,琛
ㄔㄣˊ,chén,陳
ㄔㄣˇ,chěn,捵
ㄔㄣˋ,chèn,趁
ㄔㄣ˙,chẹn,伧
ㄔㄤ,chang,昌
ㄔㄤˊ,cháng,常
ㄔㄤˇ,chǎng,場
ㄔㄤˋ,chàng,唱
ㄔㄤ˙,,　
ㄔㄥ,cheng,稱
ㄔㄥˊ,chéng,成
ㄔㄥˇ,chěng,逞
ㄔㄥˋ,chèng,秤
ㄔㄥ˙,,
(ㄔㄦ),cher,車
(ㄔㄦˊ),,　
(ㄔㄦˇ),chěr,扯
(ㄔㄦˋ),chèr,撤
(ㄔㄦ˙),,　
ㄔㄨ,chu,出
ㄔㄨˊ,chú,除
ㄔㄨˇ,chǔ,楚
ㄔㄨˋ,chù,處
ㄔㄨ˙,,　
ㄔㄨㄚ,chua,欻
ㄔㄨㄚˊ,,　
ㄔㄨㄚˇ,chuǎ,抓
ㄔㄨㄚˋ,,　
ㄔㄨㄚ˙,,　
ㄔㄨㄛ,chuo,戳
ㄔㄨㄛˊ,,　
ㄔㄨㄛˇ,,　
ㄔㄨㄛˋ,chuò,綽
ㄔㄨㄛ˙,,　
ㄔㄨㄞ,chuai,搋
ㄔㄨㄞˊ,chuaí,膗
ㄔㄨㄞˇ,chuaǐ,揣
ㄔㄨㄞˋ,chuaì,踹
ㄔㄨㄞ˙,,　
ㄔㄨㄟ,chuei,吹
ㄔㄨㄟˊ,chueí,垂
ㄔㄨㄟˇ,,　
ㄔㄨㄟˋ,chueì,諈
ㄔㄨㄟ˙,,　
ㄔㄨㄢ,chuan,穿
ㄔㄨㄢˊ,chuán,傳
ㄔㄨㄢˇ,chuǎn,喘
ㄔㄨㄢˋ,chuàn,串
